tier,tier_min,tier_max,len_20_120,len_121_150,len_151_200,len_201_250,len_251_300,len_301_350
1,2,100,400.0,466.0,520.0,689.0,1030.0,1288.0
2,101,500,800.0,933.0,1040.0,1379.0,2060.0,2575.0
3,501,1000,1200.0,1400.0,1560.0,2068.0,3090.0,3863.0
4,1001,2000,1600.0,1867.0,2080.0,2757.0,4121.0,5152.0
5,2001,6000,2400.0,2800.0,3120.0,4136.0,6181.0,7727.0
6,6001,12000,3120.0,3744.0,4056.0,5148.0,7694.0,9618.0
7,12001,18000,4056.0,4867.0,5273.0,6694.0,10004.0,12505.0
8,18001,24000,5273.0,6327.0,6855.0,8702.0,13006.0,16258.0
9,24001,30000,6855.0,8225.0,8912.0,11315.0,16910.0,21138.0
10,30001,36000,7037.0,8444.0,9149.0,11615.0,17359.0,21699.0
11,36001,42000,7741.0,9289.0,10064.0,12775.0,19093.0,23867.0
12,42001,48000,8515.0,10218.0,11070.0,14051.0,21000.0,26250.0
13,48001,54000,9367.0,11240.0,12177.0,15456.0,23100.0,28875.0
14,54001,60000,10304.0,12364.0,13395.0,17003.0,25411.0,31764.0
15,60001,72000,10819.0,12982.0,14065.0,17854.0,26684.0,33355.0
16,72001,84000,11197.0,13437.0,14557.0,18477.0,27614.0,34518.0
17,84001,96000,11502.0,13802.0,14953.0,18981.0,28367.0,35459.0
18,96001,120000,11629.0,13956.0,15119.0,19190.0,28680.0,35850.0
19,120001,150000,13284.0,15942.0,17270.0,21919.0,32758.0,40948.0
20,150001,180000,14613.0,17536.0,18997.0,24111.0,36035.0,45044.0
21,180001,210000,15479.0,18575.0,20123.0,25541.0,38172.0,47715.0
22,210001,240000,17027.0,20432.0,22135.0,28095.0,41989.0,52487.0
23,240001,300000,21000.0,25500.0,27000.0,33000.0,49320.0,61650.0
24,300001,360000,25200.0,30600.0,32400.0,39600.0,59184.0,73980.0
25,360001,420000,29400.0,35700.0,37800.0,46200.0,69048.0,86310.0
26,420001,480000,33600.0,40800.0,43200.0,52800.0,78912.0,98640.0
27,480001,600000,41160.0,49980.0,52920.0,64680.0,96667.0,120834.0
28,600001,696000,48720.0,59160.0,62640.0,76560.0,114422.0,143028.0
